Description_clean;total_sold;total_returned;sales_revenue;return_revenue;return_rate;anomaly_flag;impact_score
3 HOOK HANGER MAGIC GARDEN;448;5;1059,36;9,75;1,12;Normal;0,11
3 HOOK PHOTO SHELF ANTIQUE WHITE;1735;106;13110,31;825,35;6,11;Normal;50,43
3 PIECE SPACEBOY COOKIE CUTTER SET;1475;12;3239,79;25,2;0,81;Normal;0,2
3 RAFFIA RIBBONS 50'S CHRISTMAS;1965;0;1755,67;0,0;0,0;Normal;0,0
3 RAFFIA RIBBONS VINTAGE CHRISTMAS;777;0;669,49;0,0;0,0;Normal;0,0
3 ROSE MORRIS BOXED CANDLES;1053;18;1681,0;70,5;1,71;Normal;1,21
3 STRIPEY MICE FELTCRAFT;2521;10;5044,44;19,5;0,4;Normal;0,08
3 TIER CAKE TIN GREEN AND CREAM;314;12;5287,22;179,4;3,82;Normal;6,85
3 TIER CAKE TIN RED AND CREAM;285;32;4438,11;447,6;11,23;Normal;50,27
3 TIER SWEETHEART GARDEN SHELF;52;1;1830,4;35,95;1,92;Normal;0,69
3 TRADITIONAL BISCUIT CUTTERS  SET;991;2;2148,61;4,2;0,2;Normal;0,01
3 TRADITIONAL COOKIE CUTTERS  SET;18;0;37,8;0,0;0,0;Normal;0,0
3 WHITE CHOC MORRIS BOXED CANDLES;892;0;1557,57;0,0;0,0;Normal;0,0
3 WICK CHRISTMAS BRIAR CANDLE;3;0;15,97;0,0;0,0;Normal;0,0
36 DOILIES DOLLY GIRL;479;0;721,49;0,0;0,0;Normal;0,0
36 DOILIES VINTAGE CHRISTMAS;3312;36;4623,93;52,2;1,09;Normal;0,57
36 FOIL HEART CAKE CASES;922;6;1805,28;12,6;0,65;Normal;0,08
36 FOIL STAR CAKE CASES;786;0;1543,95;0,0;0,0;Normal;0,0
36 PENCILS TUBE POSY;79;0;76,91;0,0;0,0;Normal;0,0
36 PENCILS TUBE RED RETROSPOT;1993;92;2717,72;115,0;4,62;Normal;5,31
36 PENCILS TUBE SKULLS;1498;0;2048,12;0,0;0,0;Normal;0,0
36 PENCILS TUBE WOODLAND;937;43;1350,46;53,75;4,59;Normal;2,47
3D CHRISTMAS STAMPS STICKERS;992;14;1331,76;17,5;1,41;Normal;0,25
3D DOG PICTURE PLAYING CARDS;195;0;594,87;0,0;0,0;Normal;0,0
3D HEARTS  HONEYCOMB PAPER GARLAND;241;0;790,35;0,0;0,0;Normal;0,0
3D SHEET OF CAT STICKERS;235;4;234,37;3,4;1,7;Normal;0,06
3D SHEET OF DOG STICKERS;398;0;400,19;0,0;0,0;Normal;0,0
3D TRADITIONAL CHRISTMAS STICKERS;1398;0;1863,83;0,0;0,0;Normal;0,0
3D VINTAGE CHRISTMAS STICKERS;1497;0;1977,75;0,0;0,0;Normal;0,0
4 BLUE DINNER CANDLES SILVER FLOCK;88;0;229,22;0,0;0,0;Normal;0,0
4 BURGUNDY WINE DINNER CANDLES;57;0;72,46;0,0;0,0;Normal;0,0
4 GOLD FLOCK CHRISTMAS BALLS;2;0;6,72;0,0;0,0;Normal;0,0
4 IVORY DINNER CANDLES SILVER FLOCK;481;0;1097,61;0,0;0,0;Normal;0,0
4 LAVENDER BOTANICAL DINNER CANDLES;790;0;1206,67;0,0;0,0;Normal;0,0
4 LILY  BOTANICAL DINNER CANDLES;504;0;953,01;0,0;0,0;Normal;0,0
4 PEAR BOTANICAL DINNER CANDLES;726;0;1138,34;0,0;0,0;Normal;0,0
4 PINK DINNER CANDLE SILVER FLOCK;102;0;188,32;0,0;0,0;Normal;0,0
4 PINK FLOCK CHRISTMAS BALLS;50;0;89,72;0,0;0,0;Normal;0,0
4 PURPLE FLOCK DINNER CANDLES;138;0;275,5;0,0;0,0;Normal;0,0
4 ROSE PINK DINNER CANDLES;172;0;261,59;0,0;0,0;Normal;0,0
4 SKY BLUE DINNER CANDLES;138;0;282,91;0,0;0,0;Normal;0,0
4 TRADITIONAL SPINNING TOPS;3055;10;4384,06;12,9;0,33;Normal;0,04
4 VANILLA BOTANICAL CANDLES;930;0;1421,4;0,0;0,0;Normal;0,0
4 WILDFLOWER BOTANICAL CANDLES;400;0;748,37;0,0;0,0;Normal;0,0
5 HOOK HANGER MAGIC TOADSTOOL;200;0;325,98;0,0;0,0;Normal;0,0
5 HOOK HANGER RED MAGIC TOADSTOOL;398;7;738,24;11,55;1,76;Normal;0,2
5 STRAND GLASS NECKLACE AMBER;6;0;37,62;0,0;0,0;Normal;0,0
5 STRAND GLASS NECKLACE AMETHYST;9;0;56,59;0,0;0,0;Normal;0,0
5 STRAND GLASS NECKLACE BLACK;11;0;69,63;0,0;0,0;Normal;0,0
5 STRAND GLASS NECKLACE CRYSTAL;20;2;126,64;12,7;10,0;Normal;1,27
50'S CHRISTMAS GIFT BAG LARGE;1727;2;2108,63;2,5;0,12;Normal;0,0
50'S CHRISTMAS PAPER GIFT BAG;1272;1;1043,29;0,82;0,08;Normal;0,0
50CM METAL STRING WITH  7 CLIPS;226;0;172,64;0,0;0,0;Normal;0,0
6 CHOCOLATE LOVE HEART T-LIGHTS;987;0;2033,86;0,0;0,0;Normal;0,0
6 EGG HOUSE PAINTED WOOD;254;4;2368,68;31,8;1,57;Normal;0,5
6 GIFT TAGS 50'S CHRISTMAS;3342;48;3099,06;39,84;1,44;Normal;0,57
6 GIFT TAGS VINTAGE CHRISTMAS;3291;12;2939,53;9,96;0,36;Normal;0,04
6 RIBBONS ELEGANT CHRISTMAS;1703;12;2373,53;19,8;0,7;Normal;0,14
6 RIBBONS EMPIRE;1172;0;1524,33;0,0;0,0;Normal;0,0
6 RIBBONS RUSTIC CHARM;7273;13;13998,37;21,45;0,18;Normal;0,04
6 RIBBONS SHIMMERING PINKS;1273;12;1131,22;19,8;0,94;Normal;0,19
6 ROCKET BALLOONS;1768;68;1208,72;44,2;3,85;Normal;1,7
60 CAKE CASES DOLLY GIRL DESIGN;3834;96;2187,15;52,8;2,5;Normal;1,32
60 CAKE CASES VINTAGE CHRISTMAS;12779;72;7974,92;39,6;0,56;Normal;0,22
60 GOLD AND SILVER FAIRY CAKE CASES;2;0;1,1;0,0;0,0;Normal;0,0
60 TEATIME FAIRY CAKE CASES;13732;150;7046,22;82,5;1,09;Normal;0,9
6PC WOOD PLATE SET DISPOSABLE;435;0;544,88;0,0;0,0;Normal;0,0
70'S ALPHABET WALL ART;144;0;998,4;0,0;0,0;Normal;0,0
72 CAKE CASES VINTAGE CHRISTMAS;24;0;13,2;0,0;0,0;Normal;0,0
72 SWEETHEART FAIRY CAKE CASES;9975;130;4943,18;62,14;1,3;Normal;0,81
75 BLACK PETIT FOUR CASES;58;0;24,36;0,0;0,0;Normal;0,0
75 GREEN FAIRY CAKE CASES;70;0;102,91;0,0;0,0;Normal;0,0
75 GREEN PETIT FOUR CASES;351;0;176,17;0,0;0,0;Normal;0,0
A PRETTY THANK YOU CARD;420;0;179,46;0,0;0,0;Normal;0,0
A4 WALL TIDY BLUE OFFICE;67;0;47,72;0,0;0,0;Normal;0,0
A4 WALL TIDY RED FLOWERS;13;0;7,37;0,0;0,0;Normal;0,0
ABC TREASURE BOOK BOX;1333;41;2972,28;92,25;3,08;Normal;2,84
ABSTRACT CIRCLE JOURNAL;178;0;431,95;0,0;0,0;Normal;0,0
ABSTRACT CIRCLES POCKET BOOK;162;0;137,7;0,0;0,0;Normal;0,0
ABSTRACT CIRCLES SKETCHBOOK;126;0;543,31;0,0;0,0;Normal;0,0
ACRYLIC GEOMETRIC LAMP;33;0;530,75;0,0;0,0;Normal;0,0
ACRYLIC HANGING JEWEL,BLUE;222;0;88,57;0,0;0,0;Normal;0,0
ACRYLIC HANGING JEWEL,PINK;83;0;61,99;0,0;0,0;Normal;0,0
ACRYLIC JEWEL ANGEL,PINK;78;0;29,64;0,0;0,0;Normal;0,0
ACRYLIC JEWEL ICICLE, BLUE;31;0;11,78;0,0;0,0;Normal;0,0
ACRYLIC JEWEL ICICLE, PINK;218;0;88,73;0,0;0,0;Normal;0,0
ACRYLIC JEWEL SNOWFLAKE, PINK;114;0;45,04;0,0;0,0;Normal;0,0
ACRYLIC JEWEL SNOWFLAKE,PINK;6;0;15,3;0,0;0,0;Normal;0,0
ADD STOCK TO ALLOCATE ONLINE ORDERS;2;0;0,0;0,0;0,0;Normal;0,0
ADJUSTMENT;413;37;0,0;0,0;8,96;Normal;0,0
ADULT APRON APPLE DELIGHT;121;0;634,03;0,0;0,0;Normal;0,0
ADVENT CALENDAR GINGHAM SACK;1095;57;5587,19;291,15;5,21;Normal;15,17
AFGHAN SLIPPER SOCK PAIR;516;2;1680,2;6,9;0,39;Normal;0,03
AGED GLASS SILVER T-LIGHT HOLDER;10424;21;6787,12;13,65;0,2;Normal;0,03
AIRLINE BAG VINTAGE JET SET BROWN;276;0;1314,99;0,0;0,0;Normal;0,0
AIRLINE BAG VINTAGE JET SET RED;421;4;1877,97;17,0;0,95;Normal;0,16
AIRLINE BAG VINTAGE JET SET WHITE;195;0;886,7;0,0;0,0;Normal;0,0
AIRLINE BAG VINTAGE TOKYO 78;981;14;4602,22;57,78;1,43;Normal;0,83
AIRLINE BAG VINTAGE WORLD CHAMPION;230;1;1072,09;4,25;0,43;Normal;0,02
AIRLINE LOUNGE,METAL SIGN;683;0;1349,27;0,0;0,0;Normal;0,0
ALAN HODGE CANT MAMAGE THIS SECTION;30;0;0,0;0,0;0,0;Normal;0,0
ALARM CLOCK BAKELIKE CHOCOLATE;1577;49;6678,35;183,75;3,11;Normal;5,71
ALARM CLOCK BAKELIKE GREEN;5631;31;24218,28;116,25;0,55;Normal;0,64
ALARM CLOCK BAKELIKE IVORY;2506;43;10068,15;161,25;1,72;Normal;2,77
ALARM CLOCK BAKELIKE ORANGE;2044;31;8022,7;115,89;1,52;Normal;1,76
ALARM CLOCK BAKELIKE PINK;4173;37;16307,9;138,75;0,89;Normal;1,23
ALARM CLOCK BAKELIKE RED;6656;73;26426,87;273,75;1,1;Normal;3,01
ALPHABET HEARTS STICKER SHEET;341;0;302,48;0,0;0,0;Normal;0,0
ALPHABET STENCIL CRAFT;2627;437;2969,77;464,17;16,63;Normal;77,19
ALUMINIUM HEART;30;0;74,7;0,0;0,0;Normal;0,0
ALUMINIUM STAMPED HEART;747;0;1812,55;0,0;0,0;Normal;0,0
AMAZON;176;0;0,0;0,0;0,0;Normal;0,0
AMAZON ADJUSTMENT;1;0;0,0;0,0;0,0;Normal;0,0
AMAZON SALES;20;0;0,0;0,0;0,0;Normal;0,0
AMAZON SOLD SETS;0;210;0,0;0,0;;Suspicious Return;
AMBER 3 BEAD DROP EARRINGS;8;0;23,2;0,0;0,0;Normal;0,0
AMBER BERTIE GLASS BEAD BAG CHARM;11;0;21,05;0,0;0,0;Normal;0,0
AMBER BERTIE MOBILE PHONE CHARM;2;0;6,58;0,0;0,0;Normal;0,0
AMBER CHUNKY BEAD BRACELET W STRAP;13;0;117,73;0,0;0,0;Normal;0,0
AMBER CRYSTAL DROP EARRINGS;3;0;8,76;0,0;0,0;Normal;0,0
AMBER DIAMANTE EXPANDABLE RING;25;0;105,53;0,0;0,0;Normal;0,0
AMBER DROP EARRINGS W LONG BEADS;34;0;99,54;0,0;0,0;Normal;0,0
AMBER FINE BEAD NECKLACE W TASSEL;6;0;35,31;0,0;0,0;Normal;0,0
AMBER GLASS TASSLE BAG CHARM;14;0;33,44;0,0;0,0;Normal;0,0
AMBER GLASS/SHELL/PEARL NECKLACE;7;0;64,04;0,0;0,0;Normal;0,0
AMBER GLASS/SILVER BRACELET;25;0;227,89;0,0;0,0;Normal;0,0
AMETHYST 3 BEAD DROP EARRINGS;5;0;14,5;0,0;0,0;Normal;0,0
AMETHYST CHUNKY BEAD BRACELET W STR;29;0;262,14;0,0;0,0;Normal;0,0
AMETHYST DIAMANTE EXPANDABLE RING;17;0;71,52;0,0;0,0;Normal;0,0
AMETHYST DROP EARRINGS W LONG BEADS;21;0;61,08;0,0;0,0;Normal;0,0
AMETHYST GLASS/SHELL/PEARL NECKLACE;15;0;137,63;0,0;0,0;Normal;0,0
AMETHYST HOOP EARRING FLORAL LEAF;12;0;35,11;0,0;0,0;Normal;0,0
ANGEL DECORATION 3 BUTTONS;3653;7;1598,03;2,94;0,19;Normal;0,01
ANGEL DECORATION PAINTED ZINC;514;0;344,64;0,0;0,0;Normal;0,0
ANGEL DECORATION STARS ON DRESS;2461;22;1053,61;9,24;0,89;Normal;0,08
ANGEL DECORATION WITH LACE PADDED;212;0;180,2;0,0;0,0;Normal;0,0
ANIMAL STICKERS;1653;0;347,13;0,0;0,0;Normal;0,0
ANIMALS AND NATURE WALL ART;219;0;766,05;0,0;0,0;Normal;0,0
ANT COPPER LIME BOUDICCA BRACELET;77;0;383,04;0,0;0,0;Normal;0,0
ANT COPPER PINK BOUDICCA BRACELET;58;0;289,19;0,0;0,0;Normal;0,0
ANT COPPER RED BOUDICCA BRACELET;24;0;119,91;0,0;0,0;Normal;0,0
ANT COPPER TURQ BOUDICCA BRACELET;67;0;333,33;0,0;0,0;Normal;0,0
ANT SILVER FUSCHIA BOUDICCA RING;14;0;41,3;0,0;0,0;Normal;0,0
ANT SILVER LIME GREEN BOUDICCA RING;21;1;61,95;2,95;4,76;Normal;0,14
ANT SILVER PURPLE BOUDICCA RING;10;0;29,5;0,0;0,0;Normal;0,0
ANT WHITE WIRE HEART SPIRAL;334;1;1499,88;3,95;0,3;Normal;0,01
ANTIQUE ALL GLASS CANDLESTICK;1153;3;2580,45;6,3;0,26;Normal;0,02
ANTIQUE CREAM CUTLERY CUPBOARD;48;0;504,69;0,0;0,0;Normal;0,0
ANTIQUE CREAM CUTLERY SHELF;29;0;254,98;0,0;0,0;Normal;0,0
ANTIQUE GLASS DRESSING TABLE POT;1743;42;5399,05;123,9;2,41;Normal;2,99
ANTIQUE GLASS HEART DECORATION;328;2;709,18;3,9;0,61;Normal;0,02
ANTIQUE GLASS PEDESTAL BOWL;985;19;4046,39;70,89;1,93;Normal;1,37
ANTIQUE GLASS PLACE SETTING;110;0;137,5;0,0;0,0;Normal;0,0
ANTIQUE HEART SHELF UNIT;266;12;3995,62;183,0;4,51;Normal;8,25
ANTIQUE IVORY WIRE BOWL SMALL;93;5;236,51;12,45;5,38;Normal;0,67
ANTIQUE LILY FAIRY LIGHTS;0;3;0,0;14,85;;Suspicious Return;
ANTIQUE MID BLUE FLOWER EARRINGS;3;0;12,65;0,0;0,0;Normal;0,0
ANTIQUE OLIVE GREEN FLOWER EARRINGS;5;0;21,23;0,0;0,0;Normal;0,0
ANTIQUE OPAL WHITE FLOWER EARRINGS;5;0;21,13;0,0;0,0;Normal;0,0
ANTIQUE RASPBERRY FLOWER EARRINGS;5;0;20,95;0,0;0,0;Normal;0,0
ANTIQUE SILVER BAUBLE LAMP;365;7;3468,83;66,35;1,92;Normal;1,27
ANTIQUE SILVER BOOK MARK WITH BEADS;17;0;14,11;0,0;0,0;Normal;0,0
ANTIQUE SILVER T-LIGHT GLASS;14484;315;19156,62;347,96;2,17;Normal;7,55
ANTIQUE SILVER TEA GLASS ENGRAVED;8670;32;10252,27;38,29;0,37;Normal;0,14
ANTIQUE SILVER TEA GLASS ETCHED;4534;19;6448,01;23,75;0,42;Normal;0,1
ANTIQUE TALL SWIRLGLASS TRINKET POT;859;9;3519,49;33,75;1,05;Normal;0,35
APOTHECARY MEASURING JAR;46;1;588,08;12,5;2,17;Normal;0,27
APPLE BATH SPONGE;1155;0;1684,92;0,0;0,0;Normal;0,0
APRON APPLE DELIGHT;156;0;843,24;0,0;0,0;Normal;0,0
APRON MODERN VINTAGE COTTON;470;0;1096,96;0,0;0,0;Normal;0,0
AQUA BERTIE GLASS BEAD BAG CHARM;30;0;48,06;0,0;0,0;Normal;0,0
AREA PATROLLED METAL SIGN;4240;19;8596,29;39,9;0,45;Normal;0,18
ARMY CAMO BOOKCOVER TAPE;17;0;7,14;0,0;0,0;Normal;0,0
ART LIGHTS,FUNK MONKEY;357;0;999,19;0,0;0,0;Normal;0,0
ASS COL CIRCLE MOBILE;474;0;173,16;0,0;0,0;Normal;0,0
ASS COL LARGE SAND FROG P'WEIGHT;27;0;28,35;0,0;0,0;Normal;0,0
ASS COL SMALL SAND GECKO P'WEIGHT;29;0;12,18;0,0;0,0;Normal;0,0
ASS COLOUR GLOWING TIARAS;152;0;130,76;0,0;0,0;Normal;0,0
ASS DES PHONE SPONGE CRAFT STICKER;451;0;115,39;0,0;0,0;Normal;0,0
ASS FLORAL PRINT MULTI SCREWDRIVER;2397;24;1101,79;10,08;1,0;Normal;0,1
ASS FLORAL PRINT SPIRIT LEVEL;101;0;112,81;0,0;0,0;Normal;0,0
ASSORTED BOTTLE TOP  MAGNETS;2264;90;1040,66;37,8;3,98;Normal;1,5
ASSORTED CAKES FRIDGE MAGNETS;55;0;35,75;0,0;0,0;Normal;0,0
ASSORTED CHEESE FRIDGE MAGNETS;139;0;126,11;0,0;0,0;Normal;0,0
ASSORTED CIRCULAR MOBILE;698;2;155,82;0,42;0,29;Normal;0,0
ASSORTED COLOUR BIRD ORNAMENT;33735;56;54756,79;94,64;0,17;Normal;0,16
ASSORTED COLOUR LIZARD SUCTION HOOK;903;0;354,78;0,0;0,0;Normal;0,0
ASSORTED COLOUR METAL CAT;115;0;143,75;0,0;0,0;Normal;0,0
ASSORTED COLOUR MINI CASES;1512;7;10620,67;55,65;0,46;Normal;0,26
ASSORTED COLOUR SILK GLASSES CASE;3;0;6,3;0,0;0,0;Normal;0,0
ASSORTED COLOUR SUCTION CUP HOOK;202;0;38,38;0,0;0,0;Normal;0,0
ASSORTED COLOUR T-LIGHT HOLDER;3499;10;2228,63;6,1;0,29;Normal;0,02
ASSORTED COLOURED CIRCLE MOBILE;65;0;27,3;0,0;0,0;Normal;0,0
ASSORTED COLOURS SILK FAN;21066;744;16539,92;505,68;3,53;Normal;17,85
ASSORTED CREEPY CRAWLIES;2645;48;1117,15;20,16;1,81;Normal;0,36
ASSORTED EASTER DECORATIONS  BELLS;215;21;341,79;26,25;9,77;Normal;2,56
ASSORTED EASTER GIFT TAGS;487;0;444,0;0,0;0,0;Normal;0,0
ASSORTED FARMYARD ANIMALS IN BUCKET;90;0;74,58;0,0;0,0;Normal;0,0
ASSORTED INCENSE PACK;2592;0;529,92;0,0;0,0;Normal;0,0
ASSORTED LAQUERED INCENSE HOLDERS;2545;0;455,98;0,0;0,0;Normal;0,0
ASSORTED MINI MADRAS NOTEBOOK;928;0;463,23;0,0;0,0;Normal;0,0
ASSORTED MONKEY SUCTION CUP HOOK;533;1;210,9;0,42;0,19;Normal;0,0
ASSORTED SANSKRIT MINI NOTEBOOK;91;0;113,75;0,0;0,0;Normal;0,0
ASSORTED SHAPES PHOTO CLIP SILVER;473;24;241,21;15,6;5,07;Normal;0,79
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK;542;0;554,51;0,0;0,0;Normal;0,0
ASSORTED TUTTI FRUTTI BRACELET;2406;24;665,49;4,56;1,0;Normal;0,05
ASSORTED TUTTI FRUTTI HEART BOX;215;25;268,75;31,25;11,63;Normal;3,63
ASSORTED TUTTI FRUTTI KEYRING BALL;1153;0;451,59;0,0;0,0;Normal;0,0
ASSORTED TUTTI FRUTTI LARGE PURSE;118;1;247,8;2,1;0,85;Normal;0,02
ASSORTED TUTTI FRUTTI MIRROR;478;0;653,31;0,0;0,0;Normal;0,0
ASSORTED TUTTI FRUTTI NOTEBOOK;237;0;526,76;0,0;0,0;Normal;0,0
ASSORTED TUTTI FRUTTI PEN;2400;118;810,14;46,54;4,92;Normal;2,29
ASSORTED TUTTI FRUTTI ROUND BOX;0;24;0,0;39,6;;Suspicious Return;
ASSORTED TUTTI FRUTTI SMALL PURSE;617;1;842,79;1,25;0,16;Normal;0,0
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME;459;0;218,87;0,0;0,0;Normal;0,0
ASSTD DESIGN 3D PAPER STICKERS;13583;60;326,63;51,0;0,44;Normal;0,22
ASSTD DESIGN BUBBLE GUM RING;17;0;3,57;0,0;0,0;Normal;0,0
ASSTD DESIGN RACING CAR PEN;1439;185;2092,0;237,05;12,86;Normal;30,48
ASSTD MULTICOLOUR CIRCLES MUG;1580;4;840,47;1,56;0,25;Normal;0,0
ASSTD RASTA KEY-CHAINS;4;0;1,68;0,0;0,0;Normal;0,0
BABUSHKA LIGHTS STRING OF 10;399;3;2894,27;19,45;0,75;Normal;0,15
BABY BOOM RIBBONS;296;0;374,84;0,0;0,0;Normal;0,0
BABY MOUSE RED GINGHAM DRESS;72;0;306,0;0,0;0,0;Normal;0,0
BAG 125G SWIRLY MARBLES;9099;87;3406,67;36,54;0,96;Normal;0,35
BAG 250G SWIRLY MARBLES;4748;5;3702,68;3,86;0,11;Normal;0,0
BAG 500G SWIRLY MARBLES;1375;20;1353,81;31,6;1,45;Normal;0,46
BAG OF SILVER STONES;131;0;89,95;0,0;0,0;Normal;0,0
BAKING MOULD CHOCOLATE CUP CAKES;12;0;30,6;0,0;0,0;Normal;0,0
BAKING MOULD CHOCOLATE CUPCAKES;710;6;1895,14;15,3;0,85;Normal;0,13
BAKING MOULD CUPCAKE CHOCOLATE;12;0;30,6;0,0;0,0;Normal;0,0
BAKING MOULD EASTER EGG MILK CHOC;773;156;2141,27;337,8;20,18;Normal;68,17
BAKING MOULD EASTER EGG WHITE CHOC;384;3;1169,92;8,85;0,78;Normal;0,07
BAKING MOULD HEART MILK CHOCOLATE;1015;96;2609,65;201,6;9,46;Normal;19,07
BAKING MOULD HEART WHITE CHOCOLATE;515;0;1311,4;0,0;0,0;Normal;0,0
BAKING MOULD ROSE MILK CHOCOLATE;390;0;1235,82;0,0;0,0;Normal;0,0
BAKING MOULD ROSE WHITE CHOCOLATE;105;0;402,47;0,0;0,0;Normal;0,0
BAKING MOULD TOFFEE CUP  CHOCOLATE;6;0;15,3;0,0;0,0;Normal;0,0
BAKING MOULD TOFFEE CUP CHOCOLATE;494;120;1157,58;262,8;24,29;Normal;63,83
BAKING SET 9 PIECE RETROSPOT;4114;56;20313,02;251,7;1,36;Normal;3,42
BAKING SET SPACEBOY DESIGN;1826;26;8961,85;127,3;1,42;Normal;1,81
BALLOON ART MAKE YOUR OWN FLOWERS;922;0;941,69;0,0;0,0;Normal;0,0
BALLOON PUMP WITH 10 BALLOONS;496;18;991,26;35,1;3,63;Normal;1,27
BALLOON WATER BOMB PACK OF 35;5654;10;2225,52;4,2;0,18;Normal;0,01
BALLOONS  WRITING SET;1187;0;2162,93;0,0;0,0;Normal;0,0
BANQUET BIRTHDAY  CARD;1464;12;640,8;5,04;0,82;Normal;0,04
BARCODE PROBLEM;0;230;0,0;0,0;;Suspicious Return;
BAROQUE BUTTERFLY EARRINGS BLACK;2;0;7,5;0,0;0,0;Normal;0,0
BAROQUE BUTTERFLY EARRINGS CRYSTAL;4;0;14,96;0,0;0,0;Normal;0,0
BAROQUE BUTTERFLY EARRINGS MONTANA;1;0;3,73;0,0;0,0;Normal;0,0
BAROQUE BUTTERFLY EARRINGS PINK;3;0;11,19;0,0;0,0;Normal;0,0
BAROQUE BUTTERFLY EARRINGS RED;1;0;3,73;0,0;0,0;Normal;0,0
BASKET OF FLOWERS SEWING KIT;693;1;543,06;0,85;0,14;Normal;0,0
BASKET OF TOADSTOOLS;853;408;1045,9;432,48;47,83;Normal;206,86
BATH BUILDING BLOCK WORD;712;2;4453,41;11,9;0,28;Normal;0,03
BATHROOM HOOK;134;0;152,82;0,0;0,0;Normal;0,0
BATHROOM METAL SIGN;5402;290;3411,6;127,0;5,37;Normal;6,82
BATHROOM SCALES FOOTPRINTS IN SAND;51;0;172,05;0,0;0,0;Normal;0,0
BATHROOM SCALES RUBBER DUCKS;41;0;139,35;0,0;0,0;Normal;0,0
BATHROOM SCALES, TROPICAL BEACH;18;0;67,5;0,0;0,0;Normal;0,0
BATHROOM SET LOVE HEART DESIGN;64;0;184,88;0,0;0,0;Normal;0,0
BEACH HUT DESIGN BLACKBOARD;29;13;152,07;55,25;44,83;Normal;24,77
BEACH HUT KEY CABINET;34;1;177,33;3,75;2,94;Normal;0,11
BEACH HUT MIRROR;49;0;66,39;0,0;0,0;Normal;0,0
BEACH HUT SHELF W 3 DRAWERS;65;4;417,23;23,8;6,15;Normal;1,46
BEADED CHANDELIER T-LIGHT HOLDER;622;385;1098,02;436,95;61,9;Normal;270,47
BEADED CRYSTAL HEART BLUE  LARGE;456;0;417,54;0,0;0,0;Normal;0,0
BEADED CRYSTAL HEART BLUE ON STICK;181;0;163,85;0,0;0,0;Normal;0,0
BEADED CRYSTAL HEART BLUE SMALL;80;0;107,31;0,0;0,0;Normal;0,0
